id,name,rarity,type,source,refresh,intro,relatedFurnish,relatedFood,label
132,慕风蘑菇,1星,蒙德区域特产,蒙德城采集/清泉镇采集/晨曦酒庄采集/风起地小女孩处购买,两天,沐浴着和煦的风而生长的菌类，与风一样生生不息，滋养生命。,N/A,N/A,material
133,血斛,1星,稻妻区域特产,稻妻采集,两天,在诗文中也被称为赤蕊的鲜艳植物，一度在稻妻列岛绝迹，如今在战场上再度重现。传说在血腥的战场上，它们开得格外妖艳。,N/A,N/A,material
134,琉璃百合,1星,璃月区域特产,/轻策庄磨坊主小白处购买/璃月港玉京台采集推荐/轻策庄采集,两天,极为古老的花卉。据说曾经遍布璃月大地，能将大地的记忆积攒成花期时的芬芳。,N/A,N/A,material
135,石珀,1星,璃月区域特产,璃月山壁下采集/璃月港商人长顺处购买/琥牢山采集,两天,极纯的岩元素凝成的珍稀晶石，常与其他矿物伴生。也被称为岩之心。,N/A,N/A,material
136,嘟嘟莲,1星,蒙德区域特产,清泉镇采集,两天,生长在水边的花。花瓣经过烹制口感爽脆，清甜微苦。,N/A,嘟嘟莲海鲜羹极致一钓,material
137,小灯草,1星,蒙德区域特产,奔狼领采集/低语森林采集,两天,在夜间会隐隐散发辉光的野花。与其他食材一同烹饪能提升鲜味。,N/A,蒙德往事堆高高黄油煎鱼林之梦,material
138,海灵芝,1星,稻妻区域特产,海岛采集,两天,在某些特殊的海域中、岛屿上才会生长的特殊物种。虽然外形看起来像菌类，但其实是由软体生物分泌增生而成的。,N/A,N/A,material
139,污秽的面具,2星,角色培养素材,普通怪物掉落/合成获得/40级以上丘丘人掉落/40级以上射手类丘丘人掉落/40级以上丘丘萨满掉落/40级以上大体格丘丘人掉落,每天,"沾满了难以辨认的污渍，散发着微妙气味的骨质面具。即使这样也要戴在脸上，这就是丘丘人的执着。",N/A,N/A,material
140,破损的面具,1星,角色培养素材,普通怪物掉落/丘丘人掉落/射手类丘丘人掉落/丘丘萨满掉落/大体格丘丘人掉落,每天,"破碎的骨质面具，曾经属于某个丘丘人。破损的部分比完整的部分更多，已经失去了假面应有的功能。",N/A,N/A,material
141,史莱姆清,2星,角色培养素材,普通怪物掉落/合成获得/40级以上史莱姆掉落,每天,"略加提纯的史莱姆分泌物，对皮肤有害,请务必避免不加防护措施的接触。",N/A,N/A,material
142,史莱姆凝液,1星,角色培养素材,普通怪物掉落/史莱姆掉落,每天,覆于史莱姆体表的浓稠流体，各地元素工坊中最常见的原料。,N/A,N/A,material
143,霓裳花,1星,璃月区域特产,璃月港附近采集/玉京台附近采集/望舒客栈附近采集/望舒客栈菲尔戈黛特处购买/轻策庄磨坊主小白处购买,两天,在璃月如霓云般盛放的妖红之花，能制成如水般顺滑的织物。,N/A,N/A,material
